Account Id,Brand
19881,SKY
19882,SKY
19887,SKY
19893,SKY
19898,SKY
19901,SKY
19903,SKY
19904,SKY
19906,SKY
19907,SKY
19922,SKY
19940,SKY
19941,SKY
19944,SKY
19945,SKY
19958,SKY
19959,SKY
19960,SKY
19965,SKY
19969,SKY
19976,SKY
19980,SKY
19983,SKY
19988,SKY
19996,SKY
19998,SKY
20001,SKY
20005,SKY
20006,SKY
20014,SKY
20017,SKY
20018,SKY
20030,SKY
20038,SKY
20046,SKY
20047,SKY
20049,SKY
20051,SKY
20064,SKY
20066,SKY
20071,SKY
20072,SKY
20074,SKY
20097,SKY
20099,SKY
20103,SKY
20109,SKY
20111,SKY
20121,SKY
20136,SKY
20145,SKY
20146,SKY
20154,SKY
20156,SKY
20158,SKY
20163,SKY
20164,SKY
20166,SKY
20175,SKY
20185,SKY
20188,SKY
20190,SKY
20197,SKY
20198,SKY
20199,SKY
20201,SKY
20204,SKY
20208,SKY
20223,SKY
20252,SKY
20254,SKY
20261,SKY
20269,SKY
20270,SKY
20276,SKY
20295,SKY
20297,SKY
20303,SKY
20305,SKY
20307,SKY
20309,SKY
20314,SKY
20318,SKY
20323,SKY
20334,SKY
20338,SKY
20339,SKY
20340,SKY
20342,SKY
20343,SKY
20344,SKY
20350,SKY
20353,SKY
20355,SKY
20356,SKY
20365,SKY
20368,SKY
20369,SKY
20371,SKY
20373,SKY
20374,SKY
20382,SKY
20386,SKY
20387,SKY
20390,SKY
20395,SKY
20396,SKY
20412,SKY
20417,SKY
20419,SKY
20425,SKY
20426,SKY
20428,SKY
20441,SKY
20442,SKY
20448,SKY
20451,SKY
20455,SKY
20460,SKY
20463,SKY
20465,SKY
20466,SKY
20467,SKY
20468,SKY
20470,SKY
20478,SKY
20480,SKY
20486,SKY
20487,SKY
20488,SKY
20490,SKY
20491,SKY
20494,SKY
20497,SKY
20500,SKY
20503,SKY
20505,SKY
20511,SKY
20513,SKY
20514,SKY
20519,SKY
20520,SKY
20526,SKY
20536,SKY
20537,SKY
20538,SKY
20541,SKY
20551,SKY
20552,SKY
20553,SKY
20555,SKY
20565,SKY
20566,SKY
20572,SKY
20580,SKY
20586,SKY
20588,SKY
20591,SKY
20597,SKY
20599,SKY
20600,SKY
20606,SKY
20609,SKY
20612,SKY
20616,SKY
20619,SKY
20621,SKY
20624,SKY
20626,SKY
20627,SKY
20629,SKY
20630,SKY
20632,SKY
20634,SKY
20637,SKY
20640,SKY
20641,SKY
20645,SKY
20650,SKY
20653,SKY
20657,SKY
20658,SKY
20659,SKY
20664,SKY
20668,SKY
20676,SKY
20678,SKY
20690,SKY
20691,SKY
20695,SKY
20696,SKY
20700,SKY
20707,SKY
20710,SKY
20711,SKY
20717,SKY
20724,SKY
20733,SKY
20735,SKY
20740,SKY
20741,SKY
20743,SKY
20744,SKY
20746,SKY
20747,SKY
20751,SKY
20758,SKY
20763,SKY
20768,SKY
20770,SKY
20771,SKY
20774,SKY
20781,SKY
20784,SKY
20787,SKY
20789,SKY
20791,SKY
20793,SKY
20799,SKY
20803,SKY
20809,SKY
20810,SKY
20811,SKY
20812,SKY
20815,SKY
20816,SKY
20820,SKY
20824,SKY
20839,SKY
20843,SKY
20846,SKY
20854,SKY
20855,SKY
20861,SKY
20863,SKY
20868,SKY
20884,SKY
20887,SKY
20897,SKY
20898,SKY
20899,SKY
20905,SKY
20907,SKY
20908,SKY
20918,SKY
20923,SKY
20924,SKY
20940,SKY
20943,SKY
20947,SKY
20948,SKY
20961,SKY
20963,SKY
20964,SKY
20976,SKY
20983,SKY
20989,SKY
20990,SKY
20994,SKY
21003,SKY
21004,SKY
21009,SKY
21010,SKY
21016,SKY
21017,SKY
21020,SKY
21026,SKY
21027,SKY
21035,SKY
21037,SKY
21039,SKY
21042,SKY
21043,SKY
21048,SKY
21051,SKY
21054,SKY
21059,SKY
21061,SKY
21072,SKY
21075,SKY
21080,SKY
21085,SKY
21092,SKY
21093,SKY
21096,SKY
21112,SKY
21119,SKY
21133,SKY
21135,SKY
21145,SKY
21146,SKY
21147,SKY
21150,SKY
21157,SKY
21160,SKY
21164,SKY
21174,SKY
21176,SKY
21180,SKY
21183,SKY
21187,SKY
21189,SKY
21193,SKY
21199,SKY
21200,SKY
21201,SKY
21206,SKY
21213,SKY
21216,SKY
21234,SKY
21240,SKY
21246,SKY
21249,SKY
21251,SKY
21266,SKY
21267,SKY
21270,SKY
21275,SKY
21276,SKY
21277,SKY
21279,SKY
21280,SKY
21282,SKY
21284,SKY
21290,SKY
21291,SKY
21296,SKY
21302,SKY
21304,SKY
21306,SKY
21317,SKY
21319,SKY
21321,SKY
21322,SKY
21328,SKY
21337,SKY
21338,SKY
21342,SKY
21344,SKY
21348,SKY
21366,SKY
21377,SKY
21384,SKY
21389,SKY
21390,SKY
21394,SKY
21414,SKY
21418,SKY
21419,SKY
21431,SKY
21433,SKY
21435,SKY
21437,SKY
21443,SKY
21445,SKY
21446,SKY
21449,SKY
21451,SKY
21453,SKY
21454,SKY
21456,SKY
21464,SKY
21466,SKY
21469,SKY
21473,SKY
21478,SKY
21479,SKY
21484,SKY
21489,SKY
21499,SKY
21500,SKY
21503,SKY
21511,SKY
21514,SKY
21517,SKY
21521,SKY
21526,SKY
21528,SKY
21533,SKY
21534,SKY
21540,SKY
21547,SKY
21550,SKY
21553,SKY
21555,SKY
21564,SKY
21567,SKY
21568,SKY
21572,SKY
21574,SKY
21579,SKY
21586,SKY
21589,SKY
21591,SKY
21592,SKY
21596,SKY
21597,SKY
21599,SKY
21600,SKY
21601,SKY
21607,SKY
21608,SKY
21614,SKY
21615,SKY
21616,SKY
21618,SKY
21622,SKY
21636,SKY
21637,SKY
21649,SKY
21650,SKY
21653,SKY
21654,SKY
21658,SKY
21669,SKY
21670,SKY
21676,SKY
21678,SKY
21679,SKY
21681,SKY
21683,SKY
21685,SKY
21687,SKY
21690,SKY
21698,SKY
21699,SKY
21708,SKY
21714,SKY
21715,SKY
21722,SKY
21729,SKY
21731,SKY
21738,SKY
21743,SKY
21748,SKY
21759,SKY
21760,SKY
21761,SKY
21762,SKY
21767,SKY
21773,SKY
21774,SKY
21778,SKY
21783,SKY
21793,SKY
21794,SKY
21801,SKY
21803,SKY
21807,SKY
21810,SKY
21812,SKY
21815,SKY
21818,SKY
21822,SKY
21824,SKY
21829,SKY
21852,SKY
21858,SKY
21859,SKY
21864,SKY
21867,SKY
21871,SKY
21873,SKY
21874,SKY
21876,SKY
21878,SKY
21882,SKY
21883,SKY
21884,SKY
21893,SKY
21894,SKY
21898,SKY
21904,SKY
21920,SKY
21921,SKY
21936,SKY
21947,SKY
21950,SKY
21956,SKY
21959,SKY
21962,SKY
21963,SKY
21968,SKY
21972,SKY
21973,SKY
21975,SKY
21981,SKY
21990,SKY
21992,SKY
21996,SKY
22001,SKY
22003,SKY
22006,SKY
22008,SKY
22011,SKY
22016,SKY
22017,SKY
22020,SKY
22023,SKY
22025,SKY
22048,SKY
22051,SKY
22052,SKY
22055,SKY
22062,SKY
22063,SKY
22065,SKY
22078,SKY
22082,SKY
22083,SKY
22084,SKY
22087,SKY
22088,SKY
22089,SKY
22091,SKY
22092,SKY
22094,SKY
22095,SKY
22097,SKY
22099,SKY
22105,SKY
22106,SKY
22111,SKY
22114,SKY
22118,SKY
22119,SKY
22124,SKY
22128,SKY
22129,SKY
22134,SKY
22138,SKY
22142,SKY
22143,SKY
22157,SKY
22161,SKY
22163,SKY
22166,SKY
22167,SKY
22179,SKY
22180,SKY
22181,SKY
22186,SKY
22188,SKY
22189,SKY
22190,SKY
22194,SKY
22195,SKY
22196,SKY
22199,SKY
22204,SKY
